timestamp,id,label,speed_kmph,direction
2025-11-04 20:02:30,1,car,0.0,N/A
2025-11-04 20:02:30,1,car,37.31,South
2025-11-04 20:02:32,3,car,0.0,N/A
2025-11-04 20:02:32,4,car,0.0,N/A
2025-11-04 20:02:33,5,car,0.0,N/A
2025-11-04 20:02:33,5,car,38.4,South
2025-11-04 20:02:33,5,car,58.18,South
2025-11-04 20:02:33,5,car,55.47,South
2025-11-04 20:02:33,5,car,98.55,South
2025-11-04 20:02:33,5,car,88.11,South
2025-11-04 20:02:33,5,car,89.8,South
2025-11-04 20:02:33,5,car,87.01,South
2025-11-04 20:02:33,5,car,85.13,South
2025-11-04 20:02:33,5,car,52.61,South
2025-11-04 20:02:33,5,car,52.61,South
2025-11-04 20:02:35,8,car,0.0,N/A
